Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage
,,No suppression,ECC checking shall be performed for every actual register file read and the check result shall never be suppressed (also not if a register file bypass value is used instead of the value from the register file).,Assert that any mismatch on a read results in an alert.,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Syndrome update,The ECC syndrome shall be updated for every register file write,Assert every write results in a correct syndrome,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Reset value,Upon reset the register file general purpose registers shall be set to 32’b0 and the syndromes shall be set to a matching ECC value (such that no error is triggered by default).,Assert reset value is legal,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Syndrome non-readable,No explicit direct access mechanism shall be provided for the register file syndromes,"Code inspection: check the register file, and make sure there are no signals from the register syndrome out of the module",N/A,N/A,N/A,
,,All 1's or all 0's is an error,The ECC codes shall be such that a value of all 1s or all 0s for a 32-bit word and its associated syndrome represent ECC errors.,"Should be part of the scheme, checked under ""Error Detection"". Forcing values in a directed test should be considered if time allows",N/A,N/A,N/A,
,Hardened PC,Detect erroneous PC values in the IF stage,Any glitch in the IF stage PC for sequential execution shall result in a alert_major_o,"Drive a forced error in the IF stage PC and verify that the alert_major_o is driven.

NOTE: this is set up as a directed simulation test, as that seems the easiest way to verify. Assertion based should be considered before starting verification, as this would be preferrable if time allows.",Self Checking Test,Directed Self-Checking,Testcase,
,,,"Any glitch in the IF stage PC for non-sequential execution shall result in a alert_major_o

Jumps and branches are covered, reset, exceptions, interrupt and debug entry is not","Drive a forced error in the IF stage PC and verify that the alert_major_o is driven.

NOTE: this is set up as a directed simulation test, as that seems the easiest way to verify. Assertion based should be considered before starting verification, as this would be preferrable if time allows.",Self Checking Test,Directed Self-Checking,Testcase,
,,Disabled/enabled via cpuctrl.pcharden,"(CV32E40S, SECURE = 1) If cpuctrl.pcharden = 1, then the PC hardening feature shall be enabled.","Disable the control bit, rerun tests above, verify no alert",Self Checking Test,Directed Self-Checking,Testcase,
,Hardened CSR,Shadow registers to ensure integrity of important CSR's,"If a CSR is not equal to the bit-wise complement of its shadow CSR an alert shall be raised on alert_major_o.

Hardened CSR's are listed In the User Manual ","Assert that a mismatch between CSR and shadow register results in a alert_major_o for all hardened CSRs.

Force errors in the shadow register and the CSR separately, and verify alert. ",Assertion Check,Directed Non-Self-Checking,Assertion Coverage,
,Interface Integrity,OBI Parity signals Out,"Parity signals shall be provided for the OBI handshake signals as specified

A bit will be added in CPUCTRL to turn off integrity related faults","Utilise asserts from obi assertion set

Verify control bit functionality

Assert correct config",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,OBI parity signals In,An alert_major_o shall be raised with parity errors in the incoming OBI bus interface,Assert that any parity mismatch causes an alert_major_o,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,OBI checksum signals Out,"Checksum signals (instr_achk_o and data_achk_o) shall be provided for the OBI address phase signals as specified

some checksum signals will be redefined to even parity",Utilise asserts from obi assertion set,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,OBI checksum signals In,"An alert_major_o shall be raised with checksum errors in the incoming OBI bus interface

some checksum signals will be redefined to even parity",Assert that any checksum mismatch causes an alert_major_o,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Instruction parity/checksum faults causes exception,"Instruction parity/checksum faults shall pass together with the instruction data itself through the fetch stage and shall result in an instruction parity/checksum exception (i.e.exception code 0x31) only if the instruction is (attempted to be) executed.

Exception codes will change https://github.com/openhwgroup/cv32e40s/issues/235",Verify by making sure that parity/checksum errors are simulated and check against RM,Check against RM,Constrained-Random,Functional Coverage,
,,Load/store parity/checksum error causes NMI,Load/store parity/checksum faults shall be handled as load/store parity/checksum fault NMIs.,Verify by making sure that parity/checksum errors are simulated and check against RM,Check against RM,Constrained-Random,Functional Coverage,
,Bus Protocol Hardening,OBI protocol violation causes alert,Violations of the OBI address-before-response protocal shall result in an alert_major_o,Assert that breaches to the protocol results in an alert. A high rvalid without a preceding address phase shall cause an alert. Support logic from the OBI assertion set should be repurposed here.,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,Reduction of profiling infrastructure,CSRs to decode as illegal,"The following CSRs shall decode as illegal:
cycle, instret, cycleh, instreth, hpmcounter3-31, hpmcounterh3-31","Verify any instruction attempting to read or write these registers decode as illegal

Consider an assert if time allows",Check against RM,Constrained-Random,Functional Coverage,
,,CSRs to be hardwired to 0x0,"The following CSRs shall be hardwired to 0x0: 
mhpmcounteren3-31, mhpmcounterh3-31, mhpevent3-31",Assert these registers are always 0,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- END -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
